,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,DataType,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotFullBath,TotHalfBath,HouseAge,YrSinceRemod,TotSF,HasBasement,Has2Floor,HasGarage,HasPool,NewNeighborhood
40,756,756,0,2,4,3,3,466.0,0.0,2,5,1.0,0.0,2,290.0,1,2,2,0,4,0,4,2,8,8,0,2,2,6,440.0,2.0,1512,1,1,0,5,1501,1,2,3,0,2980,0,3,0,160,1,1159.0,1,0,5,21,32,5,6,2,0,1,1,4,,8,0,5,756.0,0,2000,2000,2010,3.0,1.0,11,11,1512,1,1,1,0,125.34741523068371
41,530,550,0,2,4,3,3,244.0,0.0,2,5,0.0,0.0,2,286.0,1,2,2,0,4,0,4,2,12,13,0,2,2,6,496.0,2.0,1080,1,1,0,5,1502,1,2,3,0,2403,2,0,0,160,1,0.0,2,0,6,21,50,5,7,2,0,1,1,4,,8,0,4,530.0,0,2003,2003,2010,2.0,1.0,8,8,1080,1,1,1,0,125.34741523068371
42,1418,0,224,1,0,2,3,1032.0,0.0,2,5,1.0,0.0,0,610.0,1,2,2,0,4,0,4,2,5,5,1,2,1,6,852.0,3.0,1418,1,1,0,2,1503,1,2,3,0,12853,4,0,0,20,1,0.0,2,0,4,21,192,5,8,2,0,1,1,5,,6,0,6,1642.0,160,2010,2010,2010,2.0,1.0,1,1,1418,1,0,1,0,125.34741523068371
43,975,873,0,3,0,3,3,484.0,0.0,2,5,1.0,0.0,2,491.0,1,2,2,0,4,0,4,2,12,13,1,2,2,6,592.0,2.0,1848,1,1,0,5,1504,1,2,3,0,7379,4,0,0,60,1,0.0,2,0,4,21,184,5,8,2,0,1,1,4,,8,0,7,975.0,280,2000,2000,2010,3.0,1.0,11,11,1848,1,1,1,0,125.34741523068371
44,1492,0,0,3,0,3,3,833.0,0.0,2,5,1.0,0.0,2,659.0,1,2,2,0,4,0,4,2,12,13,1,2,2,6,596.0,2.0,1492,0,1,0,2,1505,1,2,3,0,8000,4,3,0,20,1,0.0,2,0,4,21,137,5,7,2,0,1,1,4,,8,0,6,1492.0,277,2002,2002,2010,3.0,0.0,9,9,1492,1,0,1,0,125.34741523068371
45,1829,0,0,4,0,3,3,506.0,0.0,2,5,1.0,0.0,3,1323.0,1,2,2,0,4,0,4,3,6,6,0,1,2,6,535.0,2.0,1829,0,1,2,2,1506,1,3,3,0,10456,4,0,0,20,3,120.0,1,0,5,14,76,6,6,2,0,1,3,4,,8,0,8,1829.0,0,1967,1967,2010,3.0,0.0,44,44,1829,1,0,1,0,101.66759310728182
46,1280,1215,0,4,0,3,2,1137.0,0.0,2,5,1.0,0.0,2,143.0,1,2,2,0,4,0,4,3,8,8,1,2,2,6,660.0,2.0,2495,1,1,0,5,1507,1,2,3,0,10791,4,3,0,60,3,0.0,2,0,3,14,32,5,6,2,0,1,1,4,,8,0,9,1280.0,224,1993,1993,2010,3.0,1.0,18,18,2495,1,1,1,0,101.66759310728182
47,1287,604,0,3,0,3,2,687.0,46.0,0,3,0.0,1.0,2,491.0,1,2,2,0,4,0,4,3,8,8,1,2,3,6,678.0,2.0,1891,0,1,4,0,1508,1,3,3,0,18837,4,0,0,50,3,0.0,2,0,4,14,69,5,6,2,0,1,1,4,,8,0,7,1224.0,0,1978,1978,2010,3.0,1.0,33,33,1891,1,1,1,0,101.66759310728182
48,930,715,0,4,0,3,3,329.0,0.0,0,5,0.0,0.0,3,386.0,1,2,2,0,4,0,4,3,8,8,0,1,1,6,441.0,2.0,1645,2,1,4,5,1509,1,3,3,0,9600,4,3,0,60,3,0.0,2,0,6,14,78,6,6,2,0,1,1,4,,8,0,7,715.0,0,1971,1971,2010,1.0,2.0,40,40,1645,1,1,1,0,101.66759310728182
49,1232,0,0,3,0,3,3,698.0,0.0,4,5,1.0,0.0,3,534.0,1,2,2,0,4,0,4,3,12,13,0,1,1,6,490.0,2.0,1232,1,1,4,2,1510,1,3,3,0,9600,4,3,0,20,3,172.0,1,0,4,12,224,5,5,2,0,1,3,4,,8,0,6,1232.0,0,1966,1966,2010,2.0,1.0,45,45,1232,1,0,1,0,77.82101167315176
50,1209,0,0,3,0,3,3,1059.0,0.0,1,5,1.0,0.0,2,150.0,1,2,2,0,4,120,4,3,6,6,0,2,1,6,504.0,2.0,1209,0,1,2,2,1511,1,3,3,0,9900,0,3,0,20,3,0.0,2,0,4,12,0,5,5,2,0,1,3,4,,3,0,6,1209.0,0,1966,1966,2010,2.0,0.0,45,45,1209,1,0,1,0,77.82101167315176
51,1510,0,0,3,0,3,3,1010.0,0.0,1,5,1.0,0.0,3,500.0,1,2,2,0,4,0,4,3,13,10,0,1,2,6,517.0,2.0,1510,0,1,0,2,1512,1,2,3,0,9680,4,3,0,20,3,268.0,1,0,4,12,40,6,5,2,0,1,1,4,,8,204,6,1510.0,0,1967,1967,2010,3.0,0.0,44,44,1510,1,0,1,0,77.82101167315176
52,1131,644,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,3,533.0,1,2,2,0,4,0,4,3,6,6,0,1,2,6,480.0,2.0,1775,0,1,4,7,1513,1,3,3,0,10600,4,0,0,80,3,0.0,2,0,5,12,172,5,6,2,0,1,1,3,,0,0,8,533.0,0,1964,1964,2010,2.0,0.0,47,47,1775,0,1,1,0,77.82101167315176
53,1728,0,0,6,2,3,3,1500.0,0.0,1,5,2.0,0.0,3,228.0,1,2,2,0,4,0,4,3,6,6,0,1,2,6,0.0,0.0,1728,0,1,4,2,1514,2,3,3,0,13260,4,0,0,90,3,144.0,1,0,1,12,0,6,5,2,0,1,3,0,,7,0,10,1728.0,0,1962,2001,2010,4.0,0.0,49,10,1728,1,0,0,0,77.82101167315176
54,1929,532,0,3,0,3,3,670.0,0.0,3,5,0.0,0.0,3,470.0,1,2,2,0,4,0,4,2,8,8,2,1,2,3,400.0,2.0,2461,0,1,2,0,1515,1,3,3,0,9724,4,3,0,50,3,265.0,1,0,3,12,0,7,5,2,0,1,1,4,,8,0,7,1140.0,0,1952,2002,2010,2.0,0.0,59,9,2461,1,1,1,0,77.82101167315176
55,1019,537,0,3,0,3,3,300.0,0.0,4,5,0.0,0.0,3,482.0,1,0,2,0,4,150,2,3,8,8,1,1,2,6,470.0,2.0,1556,0,1,4,0,1516,1,3,3,0,17360,0,3,0,50,3,340.0,3,0,1,12,0,6,6,2,0,1,1,4,,8,0,6,782.0,0,1949,1950,2010,2.0,0.0,62,61,1556,1,1,1,0,77.82101167315176
56,1128,0,0,2,0,3,1,944.0,0.0,2,5,1.0,0.0,3,136.0,1,2,2,0,4,0,4,3,6,6,1,1,1,6,315.0,1.0,1128,0,1,2,6,1517,1,2,3,0,11380,4,0,0,85,3,216.0,1,1500,1,12,0,8,6,2,0,1,1,4,,8,0,5,1080.0,238,1966,2008,2010,2.0,0.0,45,3,1128,1,0,1,0,77.82101167315176
57,1604,0,0,4,2,3,3,0.0,0.0,5,5,0.0,0.0,3,1604.0,1,1,2,0,4,0,4,3,6,6,0,1,2,6,576.0,2.0,1604,0,1,4,2,1518,2,3,3,0,8267,0,3,0,90,3,0.0,2,0,3,12,0,5,5,2,0,1,1,4,,8,0,8,1604.0,42,1958,1958,2010,2.0,0.0,53,53,1604,0,0,1,0,77.82101167315176
58,1480,0,0,3,0,3,3,1188.0,0.0,2,5,1.0,0.0,2,292.0,1,2,2,0,4,0,4,2,12,13,0,2,2,6,620.0,2.0,1480,0,1,0,2,1519,1,2,3,0,8197,4,3,0,20,3,506.0,1,300,2,12,73,5,7,2,0,1,1,4,,8,0,7,1480.0,252,2003,2009,2010,3.0,0.0,8,2,1480,1,0,1,0,77.82101167315176
59,1143,0,0,3,0,3,3,856.0,162.0,1,4,1.0,0.0,3,125.0,1,2,2,0,4,0,4,3,8,8,0,1,1,6,308.0,1.0,1143,0,1,4,2,1520,1,3,3,0,8050,4,0,0,20,3,150.0,1,0,5,12,0,5,5,2,0,1,3,4,,8,0,6,1143.0,0,1959,1959,2010,2.0,0.0,52,52,1143,1,0,1,0,77.82101167315176
60,1206,0,0,3,0,3,3,936.0,0.0,4,5,0.0,0.0,3,270.0,1,2,2,0,4,0,4,3,8,8,0,1,1,6,312.0,1.0,1206,0,1,1,2,1521,1,3,3,0,10725,4,0,0,20,3,91.0,1,0,5,12,21,5,5,2,0,1,3,4,,8,0,6,1206.0,0,1959,1959,2010,1.0,0.0,52,52,1206,1,0,1,0,77.82101167315176
61,1580,0,0,3,0,3,3,734.0,0.0,4,5,1.0,0.0,3,510.0,1,2,2,0,4,0,4,3,13,14,2,1,1,6,440.0,2.0,1580,1,1,0,2,1522,1,3,3,0,10032,4,3,0,20,3,432.0,3,0,6,12,28,5,6,2,0,1,1,4,,8,160,6,1244.0,0,1959,1959,2010,2.0,1.0,52,52,1580,1,0,1,0,77.82101167315176
62,832,505,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,3,832.0,1,2,2,0,0,0,4,3,8,8,0,1,1,6,263.0,1.0,1337,0,1,4,0,1523,1,3,3,0,8382,4,3,0,50,3,0.0,2,0,2,12,0,5,4,2,0,1,1,4,,8,0,5,832.0,0,1956,1956,2010,1.0,0.0,55,55,1337,0,1,1,0,77.82101167315176
63,1064,0,0,2,0,3,3,339.0,0.0,1,5,0.0,1.0,3,525.0,1,2,2,0,4,0,4,3,14,15,0,1,1,6,318.0,1.0,1064,0,1,4,2,1524,1,1,3,0,10950,4,3,0,20,3,0.0,2,0,5,12,0,7,5,2,0,1,1,4,,8,0,4,864.0,0,1952,1952,2010,1.0,1.0,59,59,1064,1,0,1,0,77.82101167315176
64,972,0,0,3,0,3,3,648.0,0.0,4,5,0.0,0.0,3,324.0,1,2,2,0,4,205,2,3,8,8,0,1,1,6,305.0,1.0,972,0,1,4,2,1525,1,3,3,0,10895,0,3,0,20,3,0.0,2,0,6,12,0,6,5,2,0,1,1,4,,8,0,5,972.0,0,1955,1955,2010,1.0,0.0,56,56,972,1,0,1,0,77.82101167315176
65,988,0,0,2,1,3,0,532.0,0.0,4,5,1.0,0.0,3,456.0,1,2,2,0,4,0,4,3,8,8,0,1,1,6,264.0,1.0,988,0,1,4,2,1526,1,3,3,0,13587,4,3,0,190,3,0.0,2,0,4,12,0,5,5,2,0,1,1,0,,8,0,5,988.0,0,1958,1958,2010,2.0,0.0,53,53,988,1,0,1,0,77.82101167315176
