,1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,DataType,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,TotFullBath,TotHalfBath,HouseAge,YrSinceRemod,TotSF,HasBasement,Has2Floor,HasGarage,HasPool,SalePriceLog,NewNeighborhood
19,1339,0,0,3,0,3,3,504.0,0.0,3,5,0.0,0.0,3,525.0,1,2,2,1,4,0,4,3,3,10,0,1,1,2,294.0,1.0,1339,0,1,4,2,20,1,3,3,0,7560,4,3,0,20,3,0.0,2,0,5,12,0,6,5,2,0,1,3,0,139000.0,0,0,6,1029.0,0,1958,1965,2009,1.0,0.0,53,46,1339,1,0,1,0,11.842229212112828,77.82101167315176
20,1158,1218,0,4,0,3,0,0.0,0.0,5,5,0.0,0.0,0,1158.0,1,2,2,1,4,0,4,2,12,13,1,2,3,6,853.0,3.0,2376,1,1,0,5,21,1,2,3,0,14215,0,0,0,60,3,380.0,1,0,11,16,154,5,8,2,0,1,1,5,325300.0,6,0,9,1158.0,240,2005,2006,2006,3.0,1.0,6,5,2376,0,1,1,0,12.692503112461443,175.09727626459144
21,1108,0,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,3,637.0,1,2,2,1,1,205,4,3,13,14,1,2,1,6,280.0,1.0,1108,0,1,0,1,22,1,2,0,0,7449,4,3,0,45,4,0.0,2,0,6,9,0,7,7,0,0,1,1,4,139400.0,8,0,6,637.0,0,1930,1950,2007,1.0,0.0,81,61,1108,0,0,1,0,11.845102777308561,57.25403001667593
22,1795,0,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,2,1777.0,1,2,2,1,4,0,4,2,12,13,1,2,2,6,534.0,2.0,1795,0,1,0,2,23,1,2,3,0,9742,4,3,0,20,3,281.0,1,0,9,5,159,5,8,2,0,1,3,4,230000.0,8,0,7,1777.0,171,2002,2002,2008,2.0,0.0,9,9,1795,0,0,1,0,12.345834587905333,109.61645358532519
23,1060,0,0,3,4,3,3,840.0,0.0,2,5,1.0,0.0,2,200.0,1,2,2,1,4,0,4,3,5,5,1,2,1,6,572.0,2.0,1060,0,1,4,2,24,1,3,3,0,4224,4,3,0,120,4,0.0,2,0,6,10,110,7,5,2,0,1,1,4,129900.0,8,0,6,1040.0,100,1976,1976,2007,2.0,0.0,35,35,1060,1,0,1,0,11.77452020265869,48.91606448026681
24,1060,0,0,3,0,3,2,188.0,668.0,4,0,1.0,0.0,3,204.0,1,2,2,1,4,0,2,3,9,10,1,1,1,6,270.0,1.0,1060,0,1,0,2,25,1,2,3,0,8246,4,0,0,20,3,0.0,2,0,5,19,90,8,5,2,0,1,1,4,154000.0,8,0,6,1060.0,406,1968,2001,2010,2.0,0.0,43,10,1060,1,0,1,0,11.944707881395766,75.04168982768205
25,1600,0,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,2,1566.0,1,2,2,1,4,0,4,2,12,13,1,2,2,6,890.0,3.0,1600,0,1,0,2,26,1,2,3,0,14230,0,3,0,20,3,640.0,3,0,7,16,56,5,8,2,0,1,1,4,256300.0,8,0,7,1566.0,0,2007,2007,2009,2.0,0.0,4,4,1600,0,0,1,0,12.454103912352162,175.09727626459144
26,900,0,0,3,0,3,2,234.0,486.0,1,4,0.0,1.0,3,180.0,1,2,2,1,4,0,4,3,13,14,0,1,1,6,576.0,2.0,900,0,1,4,2,27,1,2,3,0,7200,0,3,0,20,3,0.0,2,0,5,12,32,7,5,2,0,1,1,4,134800.0,8,0,5,900.0,222,1951,2000,2010,1.0,1.0,60,11,900,1,0,1,0,11.811547477460344,77.82101167315176
27,1704,0,0,3,0,3,3,1218.0,0.0,2,5,1.0,0.0,0,486.0,1,2,2,1,4,0,4,2,12,13,1,2,2,6,772.0,3.0,1704,0,1,0,2,28,1,2,3,0,11478,4,3,0,20,3,200.0,3,0,5,16,50,5,8,2,0,1,1,4,306000.0,8,0,7,1704.0,0,2007,2008,2010,3.0,0.0,4,3,1704,1,0,1,0,12.631340380934517,175.09727626459144
28,1600,0,0,2,0,3,1,1277.0,0.0,1,5,1.0,0.0,3,207.0,1,2,2,1,4,0,4,3,8,8,2,1,1,6,319.0,1.0,1600,0,1,4,2,29,1,3,3,0,16321,1,0,0,20,3,0.0,2,0,12,12,258,6,5,2,0,1,1,4,207500.0,8,0,6,1484.0,288,1957,1997,2006,2.0,0.0,54,14,1600,1,0,1,0,12.24288661865289,77.82101167315176
29,520,0,0,1,0,3,3,0.0,0.0,5,5,0.0,0.0,3,520.0,0,1,7,1,4,87,4,3,8,8,0,0,1,6,240.0,1.0,520,0,1,1,2,30,1,1,3,0,6324,4,0,0,30,4,0.0,2,0,5,3,0,6,4,2,0,1,1,4,68500.0,8,0,4,520.0,49,1927,1950,2008,1.0,0.0,84,61,520,0,0,1,0,11.134589024250317,69.09394107837687
30,649,668,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,3,649.0,0,1,2,1,4,172,1,3,3,3,0,0,1,6,250.0,1.0,1317,0,1,4,5,31,1,3,3,0,8500,4,3,0,70,0,0.0,2,0,7,9,54,4,4,0,0,1,2,4,40000.0,8,0,6,649.0,0,1920,1950,2008,1.0,0.0,91,61,1317,0,1,1,0,10.596634733096073,57.25403001667593
31,1228,0,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,3,1228.0,1,2,2,1,4,0,4,3,6,6,0,1,1,6,271.0,1.0,1228,1,1,2,2,32,1,2,3,0,8544,1,0,0,20,3,0.0,2,0,6,19,65,6,5,2,0,1,1,4,149350.0,8,0,6,1228.0,0,1966,2006,2008,1.0,1.0,45,5,1228,0,0,1,0,11.914047823644255,75.04168982768205
32,1234,0,0,3,0,3,0,0.0,0.0,5,5,0.0,0.0,0,1234.0,1,2,2,1,4,0,4,2,12,13,0,2,2,6,484.0,2.0,1234,0,1,0,2,33,1,2,3,0,11049,0,3,0,20,3,0.0,2,0,1,5,30,5,8,2,0,1,1,4,179900.0,8,0,7,1234.0,0,2007,2007,2008,2.0,0.0,4,4,1234,0,0,1,0,12.100156419938624,109.61645358532519
33,1700,0,0,4,0,3,3,1018.0,0.0,4,5,0.0,1.0,3,380.0,1,2,2,1,4,0,4,3,3,3,1,1,1,6,447.0,2.0,1700,1,1,2,2,34,1,2,3,0,10552,4,0,0,20,3,0.0,2,0,4,12,38,5,5,2,0,1,3,4,165500.0,8,0,6,1398.0,0,1959,1959,2010,1.0,2.0,52,52,1700,1,0,1,0,12.016726473799254,77.82101167315176
34,1561,0,0,2,4,3,3,1153.0,0.0,2,5,1.0,0.0,0,408.0,1,2,2,1,4,0,4,0,8,8,1,2,2,6,556.0,2.0,1561,0,1,0,2,35,1,0,3,0,7313,4,3,0,120,3,246.0,1,0,8,16,47,5,9,2,0,1,3,4,277500.0,8,0,6,1561.0,203,2005,2005,2007,3.0,0.0,6,6,1561,1,0,1,0,12.533576212168626,175.09727626459144
35,1132,1320,0,4,0,3,0,0.0,0.0,5,5,0.0,0.0,0,1117.0,1,2,2,1,4,0,4,2,12,13,1,2,3,6,691.0,3.0,2452,1,1,0,5,36,1,2,3,0,13418,4,3,0,60,3,132.0,3,0,9,16,32,5,8,2,0,1,1,4,309000.0,8,0,9,1117.0,113,2004,2005,2006,3.0,1.0,7,6,2452,0,1,1,0,12.641096555879882,175.09727626459144
36,1097,0,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,2,1097.0,1,2,2,1,4,0,4,3,12,13,0,2,1,6,672.0,2.0,1097,1,1,0,2,37,1,3,3,0,10859,0,3,0,20,3,0.0,2,0,6,5,64,5,5,2,0,1,1,4,145000.0,8,0,6,1097.0,392,1994,1995,2009,1.0,1.0,17,16,1097,0,0,1,0,11.884489021402711,109.61645358532519
37,1297,0,0,3,0,3,3,1213.0,0.0,4,5,0.0,1.0,3,84.0,1,2,2,1,4,0,4,3,13,14,1,1,1,6,498.0,2.0,1297,0,1,2,2,38,1,3,3,0,8532,4,3,0,20,3,650.0,1,0,10,12,0,6,5,2,0,1,3,4,153000.0,8,0,5,1297.0,0,1954,1990,2009,1.0,1.0,57,21,1297,1,0,1,0,11.938193200374572,77.82101167315176
38,1057,0,0,3,0,3,3,731.0,0.0,2,5,1.0,0.0,3,326.0,1,2,2,1,4,0,2,3,12,13,0,1,1,6,246.0,1.0,1057,0,1,4,2,39,1,2,3,0,7922,4,3,0,20,3,0.0,2,0,1,12,52,7,5,2,0,1,1,0,109000.0,8,0,5,1057.0,0,1953,2007,2010,2.0,0.0,58,4,1057,1,0,1,0,11.59910316121128,77.82101167315176
39,1152,0,0,2,2,4,4,0.0,0.0,6,6,0.0,0.0,4,0.0,0,2,2,1,2,0,4,3,0,10,0,2,2,6,0.0,0.0,1152,0,1,4,2,40,2,1,3,0,6040,4,3,0,90,3,0.0,2,0,6,7,0,5,4,0,0,1,1,1,82000.0,8,0,6,0.0,0,1955,1955,2008,2.0,0.0,56,56,1152,0,0,0,0,11.314474526246391,67.67648693718733
40,1324,0,0,3,0,3,3,643.0,0.0,4,5,0.0,0.0,3,445.0,1,2,2,1,4,0,4,3,13,14,1,1,2,6,440.0,2.0,1324,0,1,0,2,41,1,3,3,0,8658,4,3,0,20,3,101.0,1,0,12,12,138,5,6,2,0,1,1,0,160000.0,8,0,6,1088.0,0,1965,1965,2006,2.0,0.0,46,46,1324,1,0,1,0,11.982929094215963,77.82101167315176
41,1328,0,0,2,0,3,1,967.0,0.0,1,5,0.0,1.0,3,383.0,1,2,2,1,4,0,2,3,12,13,2,1,1,6,308.0,1.0,1328,1,1,2,2,42,1,3,3,0,16905,4,3,0,20,3,0.0,2,0,7,23,104,6,5,1,0,1,1,4,170000.0,8,0,5,1350.0,0,1959,1959,2007,1.0,2.0,52,52,1328,1,0,1,0,12.043553716032399,127.00111172873818
42,884,0,0,2,0,3,0,747.0,93.0,0,3,1.0,0.0,2,0.0,1,2,2,1,4,0,4,3,6,6,0,1,1,6,504.0,2.0,884,0,1,2,6,43,1,2,3,0,9180,1,0,0,85,3,0.0,2,0,12,20,0,7,5,2,0,1,1,4,144000.0,8,0,5,840.0,240,1983,1983,2007,2.0,0.0,28,28,884,1,0,1,0,11.877568578558138,100.0
43,938,0,0,3,0,3,0,280.0,491.0,3,1,1.0,0.0,2,167.0,1,2,2,1,4,0,4,3,12,13,0,1,1,6,308.0,1.0,938,0,1,4,2,44,1,3,3,0,9200,1,0,0,20,3,0.0,2,0,7,5,0,6,5,2,0,1,3,4,130250.0,8,0,5,938.0,145,1975,1980,2008,2.0,0.0,36,31,938,1,0,1,0,11.777210959615614,109.61645358532519
44,1150,0,0,3,0,3,3,179.0,506.0,0,1,1.0,0.0,3,465.0,1,2,2,1,0,0,4,3,3,14,0,1,1,6,300.0,1.0,1150,0,1,0,2,45,1,3,3,0,7945,4,3,0,20,3,0.0,2,0,5,12,0,6,5,2,0,1,1,4,141000.0,8,0,6,1150.0,0,1959,1959,2006,2.0,0.0,52,52,1150,1,0,1,0,11.856515169360305,77.82101167315176
45,1752,0,0,2,4,3,3,456.0,0.0,2,5,1.0,0.0,0,1296.0,1,2,2,1,4,0,4,0,8,8,1,2,2,6,576.0,2.0,1752,0,1,0,2,46,1,0,3,0,7658,4,3,0,120,3,412.0,1,0,2,16,82,5,9,2,0,1,3,4,319900.0,8,0,6,1752.0,196,2005,2005,2010,3.0,0.0,6,6,1752,1,0,1,0,12.675763725937609,175.09727626459144
46,1518,631,0,1,0,3,3,1351.0,0.0,2,5,1.0,0.0,0,83.0,1,2,2,1,4,0,4,2,12,13,1,2,1,6,670.0,2.0,2149,1,1,0,0,47,1,2,3,0,12822,1,0,0,50,3,0.0,2,0,8,11,43,5,7,2,0,1,1,0,239686.0,8,198,6,1434.0,168,2003,2003,2009,2.0,1.0,8,8,2149,1,1,1,0,12.387085012375499,85.32518065591995
47,1656,0,0,3,0,3,0,24.0,0.0,2,5,0.0,0.0,2,1632.0,1,2,2,1,4,0,4,2,12,13,0,2,2,6,826.0,3.0,1656,0,1,0,2,48,1,2,3,0,11096,4,3,0,20,1,0.0,2,0,7,21,146,5,8,2,0,1,1,4,249700.0,8,0,7,1656.0,0,2006,2006,2007,2.0,0.0,5,5,1656,1,0,1,0,12.428015476267865,125.34741523068371
48,736,716,0,2,1,3,3,0.0,0.0,5,5,0.0,0.0,3,736.0,1,2,2,1,4,102,4,3,8,8,0,0,2,6,0.0,0.0,1452,0,1,2,5,49,3,3,3,0,4456,4,3,0,190,4,0.0,2,0,6,17,0,5,4,0,0,1,1,5,113000.0,6,0,8,736.0,0,1920,2008,2009,2.0,0.0,91,3,1452,0,1,0,0,11.635143097694478,66.14785992217898
49,955,0,0,3,0,3,3,763.0,0.0,1,5,1.0,0.0,3,192.0,1,2,2,1,4,0,4,3,6,6,0,1,1,6,386.0,1.0,955,0,1,0,2,50,1,3,3,0,7742,4,3,0,20,3,0.0,2,0,1,19,0,7,5,2,0,1,1,4,127000.0,8,0,6,955.0,0,1966,1966,2007,2.0,0.0,45,45,955,1,0,1,0,11.751942365440728,75.04168982768205
50,794,676,0,3,0,3,0,182.0,0.0,2,5,0.0,1.0,2,612.0,1,2,2,1,4,0,4,3,12,13,0,2,2,6,388.0,2.0,1470,0,1,2,5,51,1,3,3,0,13869,0,1,0,60,3,0.0,2,0,7,8,75,6,6,2,0,1,1,4,177000.0,8,0,6,794.0,0,1997,1997,2007,2.0,1.0,14,14,1470,1,1,1,0,12.083905011555967,100.61145080600333
51,816,0,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,3,816.0,1,2,2,1,4,0,4,3,13,14,1,2,1,6,528.0,2.0,1176,0,1,4,0,52,1,3,3,0,6240,4,3,360,50,4,0.0,2,400,9,3,0,6,6,2,0,1,1,4,114500.0,8,0,6,816.0,112,1934,1950,2006,1.0,0.0,77,61,816,0,0,1,0,11.648330101976432,69.09394107837687
52,816,0,0,2,2,3,1,104.0,712.0,3,2,1.0,0.0,2,0.0,0,8,2,1,4,0,4,1,13,14,0,1,1,6,516.0,2.0,816,0,1,4,2,53,1,3,0,1,8472,0,1,0,90,4,0.0,2,0,5,9,0,5,5,2,0,1,1,4,110000.0,8,0,5,816.0,106,1963,1963,2010,2.0,0.0,48,48,816,1,0,1,0,11.608235644774552,57.25403001667593
53,1842,0,0,0,0,3,1,1810.0,0.0,2,5,2.0,0.0,0,32.0,1,2,2,1,4,0,4,2,14,15,1,1,0,6,894.0,3.0,1842,1,1,2,2,54,1,2,2,0,50271,4,0,0,20,3,0.0,2,0,11,24,72,5,9,2,0,7,1,4,385000.0,8,0,5,1842.0,857,1981,1987,2006,2.0,1.0,30,24,1842,1,0,1,0,12.86099861326992,121.17843246247915
54,1360,0,0,3,0,3,3,384.0,0.0,0,5,0.0,0.0,3,0.0,1,2,2,1,4,0,4,3,8,8,1,1,1,2,572.0,2.0,1360,0,1,4,7,55,1,3,0,1,7134,4,3,0,80,3,0.0,2,0,2,12,50,5,5,2,0,1,1,4,130000.0,8,0,6,384.0,0,1955,1955,2007,1.0,0.0,56,56,1360,1,0,1,0,11.77528972943772,77.82101167315176
55,1425,0,407,3,0,3,3,490.0,0.0,1,5,0.0,0.0,3,935.0,1,2,2,1,4,0,4,3,6,10,1,1,2,6,576.0,2.0,1425,0,1,2,2,56,1,3,3,0,10175,4,0,0,20,3,272.0,1,0,7,12,0,5,6,2,0,1,1,4,180500.0,8,0,7,1425.0,0,1964,1964,2008,2.0,0.0,47,47,1425,1,0,1,0,12.103486056755072,77.82101167315176
56,983,756,0,3,3,3,3,649.0,0.0,2,5,1.0,0.0,2,321.0,1,2,2,1,4,0,4,2,8,8,0,2,2,6,480.0,2.0,1739,1,1,0,5,57,1,2,3,0,2645,4,3,0,160,1,456.0,1,0,8,21,0,5,8,2,0,1,1,0,172500.0,8,0,7,970.0,115,1999,2000,2009,3.0,1.0,12,11,1739,1,1,1,0,12.058152515453552,125.34741523068371
57,860,860,0,3,0,3,3,0.0,0.0,5,5,0.0,0.0,2,860.0,1,2,2,1,4,0,4,2,12,13,0,2,2,6,565.0,2.0,1720,1,1,0,5,58,1,2,3,0,11645,0,0,0,60,3,0.0,2,0,8,5,70,5,7,2,0,1,1,4,196500.0,8,0,7,860.0,0,2004,2004,2006,2.0,1.0,7,7,1720,0,1,1,0,12.188417710291453,109.61645358532519
58,1426,1519,0,3,0,3,1,0.0,0.0,5,5,0.0,0.0,0,1410.0,1,2,2,1,4,37,4,0,12,13,1,2,3,6,641.0,3.0,2945,1,1,0,5,59,1,2,1,0,13682,1,1,0,60,3,1031.0,1,0,10,22,0,5,10,2,0,1,3,5,438780.0,6,0,10,1410.0,192,2006,2006,2006,3.0,1.0,5,5,2945,0,1,1,0,12.991753427493052,154.53029460811564
59,780,0,0,2,0,3,0,632.0,0.0,0,5,0.0,0.0,3,148.0,1,2,2,1,4,0,4,3,6,6,0,1,1,6,352.0,1.0,780,0,1,0,2,60,1,3,0,0,7200,4,3,0,20,3,0.0,2,0,1,5,0,7,5,2,0,1,1,4,124900.0,8,0,4,780.0,196,1972,1972,2008,1.0,0.0,39,39,780,1,0,1,0,11.73526869611367,109.61645358532519
60,1158,0,0,3,0,3,3,941.0,0.0,0,5,1.0,0.0,2,217.0,1,5,2,1,4,0,4,3,12,13,0,2,1,6,576.0,2.0,1158,1,1,0,2,61,1,2,3,0,13072,4,3,0,20,3,0.0,2,0,5,20,50,5,6,2,0,1,1,5,158000.0,6,0,5,1158.0,0,2004,2004,2006,2.0,1.0,7,7,1158,1,0,1,0,11.970350312009105,100.0
61,581,530,0,3,0,0,3,0.0,0.0,5,5,0.0,0.0,3,530.0,0,2,2,1,4,144,4,3,8,8,0,0,1,6,288.0,1.0,1111,0,1,4,4,62,1,1,3,0,7200,4,3,0,75,4,0.0,2,0,3,9,0,7,5,0,0,1,1,4,101000.0,8,0,6,530.0,0,1920,1996,2007,1.0,0.0,91,15,1111,0,1,1,0,11.522875795823397,57.25403001667593
